GID	HCT116_R1	HCT116_R2	HCT116_R3	NCM460_R1	NCM460_R2	NCM460_R3	Length
ENSG00000178950	3103	4904	6684	5964	6012	3173	15155
ENSG00000178951	1738	3040	4161	2298	2714	2339	5725
ENSG00000178952	10393	12611	12666	15966	20389	5784	2271
ENSG00000178965	0	0	0	1	0	0	8252
ENSG00000178966	1316	1324	1331	951	1067	1985	3503
ENSG00000178971	1871	1046	2697	1482	1443	1105	6315
ENSG00000178972	0	9	11	2	7	0	2552
ENSG00000178974	1218	1460	1482	3973	1977	1475	4133
ENSG00000178977	16	27	30	63	39	76	2082
ENSG00000178980	2071	1162	3105	4634	5451	885	5261
ENSG00000178982	5084	6113	3990	8824	10323	3871	2785
ENSG00000178988	3230	2722	2406	4000	2964	2226	2180
ENSG00000178996	1293	1626	1551	1413	1295	1733	6652
ENSG00000178997	0	5	6	4	0	0	3661
ENSG00000178999	4316	5300	2826	2893	3221	3600	2236
ENSG00000179002	0	0	0	0	0	0	2542
ENSG00000179008	0	0	6	1	0	0	3464
ENSG00000179010	15862	19065	12780	16272	19147	9577	2655
ENSG00000179021	1003	1150	820	1467	1362	1003	3478
ENSG00000179023	1	0	72	53	32	0	5055
ENSG00000179028	0	0	0	0	0	0	2369
ENSG00000179029	551	271	392	186	132	461	3163
ENSG00000179031	3	1	5	0	0	0	778
ENSG00000179038	2	0	1	0	1	14	1248
ENSG00000179041	1135	2027	1317	1963	3122	1944	1704
ENSG00000179044	42	70	102	54	94	1	3077
ENSG00000179046	124	34	524	20	1	758	3050
ENSG00000179051	12236	15561	11234	16319	14093	8600	4126
ENSG00000179055	0	0	0	0	0	0	1107
ENSG00000179057	11	14	36	0	0	0	4841
ENSG00000179058	7	0	26	0	0	15	1620
ENSG00000179059	0	0	7	0	0	0	2651
ENSG00000179061	5	0	14	2	0	0	366
ENSG00000179066	61	38	1	7	0	0	1269
ENSG00000179071	24	22	1	14	1	0	2428
ENSG00000179073	0	0	0	0	0	0	1078
ENSG00000179082	4	1	0	0	0	0	3145
ENSG00000179083	57	63	0	0	0	0	3416
ENSG00000179085	754	456	671	348	442	148	622
ENSG00000179088	0	0	0	8	0	0	4863
ENSG00000179091	6502	8413	13338	6873	10508	8782	1975
ENSG00000179094	2117	2268	3990	432	89	1179	7002
ENSG00000179097	0	0	0	0	0	0	3074
ENSG00000179101	2	1	0	1	3	0	400
ENSG00000179104	199	258	1019	538	242	173	8319
ENSG00000179111	401	89	86	48	28	149	1868
ENSG00000179115	7196	11607	5135	4075	7472	2429	2435
ENSG00000179119	1268	1739	1558	1656	1363	2232	6005
ENSG00000179131	2	0	3	0	0	0	363
ENSG00000179133	4	1	0	0	0	60	3347
ENSG00000179134	4522	6764	6806	6989	7494	5141	8051
ENSG00000179136	0	0	0	0	0	0	3410
ENSG00000179141	0	6	6	0	1	0	2250
ENSG00000179142	0	0	0	0	0	0	2936
ENSG00000179144	0	0	0	0	0	0	1256
ENSG00000179148	149	53	276	42	99	112	3760
ENSG00000179151	2164	3744	1827	2080	2366	2051	5103
ENSG00000179152	984	1157	870	761	631	977	8387
ENSG00000179157	3	0	3	0	0	1	741
ENSG00000179163	1215	1072	1955	1700	881	1288	2047
ENSG00000179165	8	0	2	0	0	0	2108
ENSG00000179168	17	10	54	31	11	24	2447
ENSG00000179170	0	0	0	0	0	0	1015
ENSG00000179172	0	4	1	0	1	0	1108
ENSG00000179178	0	0	549	1631	1257	101	2127
ENSG00000179195	9644	8014	9613	10070	8217	8910	6340
ENSG00000179213	0	0	1	0	0	0	2350
ENSG00000179218	30302	29206	27693	61988	42018	8869	2714
ENSG00000179219	2	0	4	0	0	5	1566
ENSG00000179222	9088	11962	5249	155	32	1563	6016
ENSG00000179240	149	129	243	63	30	141	10972
ENSG00000179241	1177	1618	1689	287	290	1181	4575
ENSG00000179242	205	513	29	24	5	539	6723
ENSG00000179253	0	0	0	0	0	0	2000
ENSG00000179256	8	0	13	3	4	17	2104
ENSG00000179262	7360	9380	4452	4717	6634	3670	2449
ENSG00000179270	0	0	0	0	0	0	7273
ENSG00000179271	5115	5550	1777	2916	5245	1234	743
ENSG00000179277	0	0	2	0	1	0	958
ENSG00000179284	38	24	4	7	18	2	1988
ENSG00000179292	150	73	595	4	0	0	2562
ENSG00000179294	2195	2211	3775	1080	981	550	3227
ENSG00000179295	10919	11127	12997	11336	9244	16409	6996
ENSG00000179296	3	0	65	3	7	81	2471
ENSG00000179299	0	0	2	178	146	174	4728
ENSG00000179300	0	0	0	0	0	0	2648
ENSG00000179304	38	89	247	26	79	49	4438
ENSG00000179314	831	770	4	0	8	0	9082
ENSG00000179331	244	204	2	0	0	0	1830
ENSG00000179335	1639	1123	2131	1652	1738	1651	10800
ENSG00000179342	0	0	1	0	0	0	1069
ENSG00000179344	821	368	164	1	5	81	4904
ENSG00000179348	4969	7220	2266	0	4	577	4459
ENSG00000179361	3039	2874	520	638	772	1204	6209
ENSG00000179362	22	15	5	41	32	26	3091
ENSG00000179363	11	17	0	0	0	0	728
ENSG00000179364	1413	1733	4423	3556	2808	1687	12363
ENSG00000179381	0	0	0	0	0	0	904
ENSG00000179387	2099	2054	1994	733	620	930	6627
ENSG00000179388	11	9	409	28	4	30	4855
ENSG00000179397	47	45	24	18	2	1	4328
ENSG00000179399	53	41	2	11	0	0	3019
ENSG00000179403	1389	1631	3330	5522	10341	1247	5065
ENSG00000179406	238	168	536	138	134	509	5627
ENSG00000179407	1	0	6	0	0	0	3645
ENSG00000179409	5822	7632	3454	4811	6082	3698	5751
ENSG00000179412	0	0	0	0	0	0	1156
ENSG00000179420	0	0	0	0	0	0	1166
ENSG00000179428	0	0	0	0	0	0	1364
ENSG00000179431	730	1689	1193	47	22	2685	2685
ENSG00000179443	0	0	0	0	0	0	950
ENSG00000179447	0	0	0	0	0	0	1789
ENSG00000179449	0	0	0	0	0	0	2284
ENSG00000179452	0	0	0	0	0	0	259
ENSG00000179454	458	456	689	733	500	611	8076
ENSG00000179455	75	57	275	432	354	271	3941
ENSG00000179456	1393	2162	366	1633	2153	915	3851
ENSG00000179460	0	0	0	0	0	0	1135
ENSG00000179467	0	0	6	6	0	10	441
ENSG00000179468	0	0	0	0	0	0	1038
ENSG00000179476	54	107	174	194	61	157	3864
ENSG00000179477	30	1	81	8	8	14	2656
ENSG00000179520	2	1	0	0	0	0	4272
ENSG00000179523	291	157	204	195	129	340	3330
ENSG00000179526	1711	1268	1694	2245	2421	1664	2783
ENSG00000179528	154	91	120	93	181	72	1954
ENSG00000179532	301	227	1314	57	42	641	19629
ENSG00000179542	6	0	0	0	0	0	8924
ENSG00000179546	54	36	297	63	26	18	2849
ENSG00000179562	1090	1380	1543	1692	1640	706	4987
ENSG00000179564	2	0	23	1	0	19	1494
ENSG00000179571	0	0	1	0	0	0	2129
ENSG00000179577	2	0	0	0	0	0	411
ENSG00000179580	0	2	11	6	0	1	977
ENSG00000179583	0	10	13	2	15	21	12036
ENSG00000179588	640	1444	1820	3245	1312	177	5899
ENSG00000179593	37	12	6	1	6	0	3028
ENSG00000179598	353	426	501	305	166	431	2560
ENSG00000179600	0	0	0	0	0	0	542
ENSG00000179603	46	45	10	0	0	0	6439
ENSG00000179604	1866	2088	3918	3536	2427	1205	5007
ENSG00000179611	30	47	113	26	67	113	2776
ENSG00000179615	0	0	0	0	0	0	930
ENSG00000179626	0	0	0	0	0	0	1046
ENSG00000179627	375	408	646	1163	1206	85	3905
ENSG00000179630	275	128	200	277	139	172	4550
ENSG00000179632	2490	3226	4753	3597	3526	4202	2377
ENSG00000179636	0	0	0	0	0	0	2475
ENSG00000179639	0	0	0	0	0	0	1165
ENSG00000179673	208	246	19	0	0	0	1092
ENSG00000179674	23	0	6	43	16	571	1286
ENSG00000179676	0	0	0	0	0	0	1035
ENSG00000179695	0	0	0	0	0	0	939
ENSG00000179698	28	8	89	566	1205	73	8967
ENSG00000179709	0	0	2	0	0	0	3934
ENSG00000179715	27	4	48	77	18	224	2616
ENSG00000179743	453	704	74	112	212	49	2882
ENSG00000179750	1417	692	391	1882	1891	738	1896
ENSG00000179751	0	0	0	0	0	0	573
ENSG00000179755	0	0	0	0	0	0	772
ENSG00000179761	24	14	55	2	1	3	4055
ENSG00000179766	0	0	2	1	0	2	6161
ENSG00000179772	5	4	5	0	0	0	1318
ENSG00000179774	6	8	3	1	0	0	1486
ENSG00000179776	0	1	0	0	0	91	5961
ENSG00000179796	0	0	0	0	0	0	3271
ENSG00000179799	0	0	0	0	0	0	988
ENSG00000179813	0	0	0	0	0	0	3306
ENSG00000179817	0	0	0	0	0	0	1444
ENSG00000179818	164	459	704	293	205	244	13515
ENSG00000179820	2257	2078	2181	4926	6720	884	3675
ENSG00000179826	0	0	1	0	0	0	1741
ENSG00000179832	196	225	1459	1410	2052	1430	10903
ENSG00000179833	1508	1865	4428	1114	1061	2465	6274
ENSG00000179837	2283	4525	5049	4408	5770	3124	6600
ENSG00000179840	0	0	0	0	0	0	1823
ENSG00000179841	481	368	80	471	300	78	7512
ENSG00000179846	22	27	85	17	0	0	4764
ENSG00000179855	1632	968	0	0	1	1	4335
ENSG00000179859	267	253	57	7	2	473	2529
ENSG00000179862	313	190	376	2779	2348	1450	1290
ENSG00000179869	6	1	4	64	52	29	18580
ENSG00000179873	0	0	47	76	40	12	4305
ENSG00000179886	350	1585	1049	860	1450	620	2412
ENSG00000179889	5358	6047	5066	6163	5106	4016	8908
ENSG00000179899	45	44	104	43	46	37	3730
ENSG00000179902	6	5	7	0	0	0	1235
ENSG00000179909	1	6	31	57	62	67	5822
ENSG00000179912	900	846	1284	723	300	1158	6267
ENSG00000179913	206	73	862	2890	2102	2364	2301
ENSG00000179914	2	0	0	8	0	0	1483
ENSG00000179915	19	10	1	0	1	0	15264
ENSG00000179918	19908	23305	2876	8219	7775	2218	2551
ENSG00000179919	0	0	0	0	0	0	951
ENSG00000179921	48	4	11	9	6	1	2692
ENSG00000179922	386	445	258	757	1064	152	2058
ENSG00000179930	15	12	51	0	0	0	3649
ENSG00000179933	2442	1983	1270	3679	2571	2696	3670
ENSG00000179934	0	0	0	0	0	0	1487
ENSG00000179935	48	95	27	2	14	20	2273
ENSG00000179938	0	0	1	0	0	0	3018
ENSG00000179941	493	771	1439	626	618	1252	3595
ENSG00000179943	535	623	801	1792	3418	373	6781
ENSG00000179950	5876	8553	9530	7361	10448	9181	5424
ENSG00000179954	26	23	58	14	45	0	7314
ENSG00000179958	7168	8979	2240	2926	5284	1321	1581
ENSG00000179965	2963	2890	534	445	742	152	4128
ENSG00000179967	20	41	94	29	110	73	445
ENSG00000179978	25	17	92	21	28	8	3828
ENSG00000179979	207	240	1209	575	519	794	4441
ENSG00000179981	617	1625	686	220	335	307	8281
ENSG00000179988	273	227	243	140	164	128	6982
ENSG00000179994	0	0	0	0	0	0	1262
ENSG00000179997	0	0	0	0	0	0	364
ENSG00000180008	2346	2131	2478	3718	2557	4353	7043
ENSG00000180011	1848	1851	1441	863	597	760	8157
ENSG00000180015	57	86	74	23	14	17	1143
ENSG00000180016	0	0	0	0	0	0	1307
ENSG00000180019	0	0	0	0	0	1	212
ENSG00000180035	1209	1452	1091	1270	2062	254	3744
ENSG00000180042	0	0	0	0	0	0	909
ENSG00000180043	12	1	0	0	0	0	3274
ENSG00000180044	157	120	111	3	0	4	2577
ENSG00000180053	0	0	0	0	0	0	906
ENSG00000180061	5	3	1	43	12	0	1713
ENSG00000180066	62	47	105	31	7	1	2040
ENSG00000180068	0	0	0	0	0	0	1202
ENSG00000180071	87	114	377	8	0	441	7282
ENSG00000180081	0	0	0	0	0	0	2693
ENSG00000180083	0	0	0	0	0	0	646
ENSG00000180089	30	29	170	72	35	35	3641
ENSG00000180090	0	0	0	0	0	0	948
ENSG00000180096	1	10	26	0	9	0	4217
ENSG00000180098	995	1157	880	846	649	839	4305
ENSG00000180104	1126	1248	3361	2323	2187	3560	8182
ENSG00000180105	0	0	0	0	0	0	823
ENSG00000180113	81	31	176	0	0	14	9041
ENSG00000180116	0	0	1	0	0	0	4454
ENSG00000180138	4	0	0	0	0	0	2406
ENSG00000180139	0	1	13	0	4	0	2721
ENSG00000180150	0	0	0	1	0	0	229
ENSG00000180152	0	0	0	0	0	8	795
ENSG00000180155	115	78	473	0	0	36	6037
ENSG00000180172	2	0	1	0	0	0	397
ENSG00000180176	0	0	1	0	0	1	3243
ENSG00000180178	1	0	344	213	79	284	8075
ENSG00000180182	3463	4666	2960	2623	2469	2700	9656
ENSG00000180185	985	1609	876	1266	1414	1624	3006
ENSG00000180189	0	6	7	3	4	23	626
ENSG00000180190	120	23	8	0	0	589	3602
ENSG00000180198	7601	12082	6461	6028	8003	5053	3888
ENSG00000180205	0	0	0	0	0	0	659
ENSG00000180209	0	17	1	18	1	12	1119
ENSG00000180210	8	0	5	4	2	0	2550
ENSG00000180211	17	15	38	23	16	52	420
ENSG00000180219	0	0	0	0	0	0	1796
ENSG00000180221	0	0	0	0	0	0	496
ENSG00000180228	2046	1747	1576	1439	1363	1469	3941
ENSG00000180229	9	10	913	404	369	160	6292
ENSG00000180230	0	0	0	0	0	0	624
ENSG00000180233	405	753	626	1199	916	586	4172
ENSG00000180245	2	6	11	1	0	0	1455
ENSG00000180251	0	0	0	157	33	0	4478
ENSG00000180257	90	99	132	526	501	124	5644
ENSG00000180259	0	0	0	0	0	0	2333
ENSG00000180263	434	453	1115	917	592	2829	10044
ENSG00000180264	0	0	158	0	1	0	2892
ENSG00000180269	0	0	0	0	0	0	1712
ENSG00000180279	1	16	35	2	2	0	936
ENSG00000180284	4	1	0	0	0	0	372
ENSG00000180287	0	0	0	0	0	30	9545
ENSG00000180304	2986	2653	3402	2735	1666	2284	7671
ENSG00000180305	0	0	6	0	0	0	706
ENSG00000180316	0	0	7	0	0	1	2567
ENSG00000180318	230	257	4	0	0	0	1445
ENSG00000180329	1386	1248	949	1445	1587	1501	2855
ENSG00000180332	0	0	1	0	1	20	2119
ENSG00000180336	17	64	119	7	18	36	8619
ENSG00000180340	895	875	1271	805	598	2330	1983
ENSG00000180344	0	1	5	0	0	0	414
ENSG00000180346	327	246	474	871	601	566	2083
ENSG00000180347	0	0	0	1	0	4	7153
ENSG00000180353	1	4	15	0	1	1	5093
ENSG00000180354	1793	1826	726	389	121	831	6532
ENSG00000180357	1053	1791	3527	2534	1454	3606	12111
ENSG00000180370	2370	3483	4825	8087	5439	8201	6270
ENSG00000180376	607	841	635	630	498	1059	9278
ENSG00000180383	0	0	0	0	0	0	729
ENSG00000180385	630	558	284	147	118	566	3714
ENSG00000180386	0	0	0	0	0	0	1039
ENSG00000180389	0	0	14	1	4	14	385
ENSG00000180398	5557	5839	3382	5834	5319	6028	5994
ENSG00000180409	0	0	0	0	0	0	937
ENSG00000180422	13	13	33	6	0	0	3961
ENSG00000180423	294	275	123	137	186	231	2662
ENSG00000180424	0	0	0	0	0	0	467
ENSG00000180425	7	16	4	6	4	5	652
ENSG00000180432	0	0	0	0	0	0	4417
ENSG00000180433	0	0	0	0	0	0	1172
ENSG00000180437	0	0	0	0	0	0	1000
ENSG00000180438	1	2	6	1	1	5	3630
ENSG00000180440	147	99	0	0	0	0	3207
ENSG00000180447	531	1210	8	4	1	118	2826
ENSG00000180448	987	851	2634	2459	1700	879	6497
ENSG00000180458	0	0	0	2	1	0	3267
ENSG00000180475	0	0	0	0	0	0	1037
ENSG00000180479	231	93	0	251	321	115	5938
ENSG00000180481	5	29	23	0	0	0	3829
ENSG00000180483	0	0	0	0	0	0	797
ENSG00000180488	1411	1814	817	920	892	1357	8476
ENSG00000180509	0	5	8	0	0	0	5647
ENSG00000180525	0	0	1	52	34	0	4833
ENSG00000180530	590	697	1432	934	782	2913	7940
ENSG00000180532	0	0	0	158	25	4	2246
ENSG00000180535	4	0	181	10	31	0	798
ENSG00000180537	628	401	504	0	0	55	4090
ENSG00000180539	0	1	9	4	0	8	3815
ENSG00000180543	0	0	0	0	0	0	4460
ENSG00000180549	6	1	1	2	0	0	2584
ENSG00000180573	29	82	156	924	675	181	1668
ENSG00000180574	38	71	24	12	48	71	2423
ENSG00000180581	39	88	13	13	54	38	959
ENSG00000180592	159	452	38	4	6	18	6622
ENSG00000180596	9	1	44	10	46	83	834
ENSG00000180610	5	0	33	8	1	0	1269
ENSG00000180611	224	265	145	3357	1570	832	3368
ENSG00000180613	0	0	0	0	0	0	1926
ENSG00000180616	269	95	9	0	0	7	2265
ENSG00000180626	354	277	399	428	404	752	5314
ENSG00000180628	1844	2038	2565	2331	1941	3336	8236
ENSG00000180636	0	0	0	0	4	0	948
ENSG00000180638	6	6	14	21	12	37	6691
ENSG00000180644	7	13	446	5	36	0	2534
ENSG00000180658	4	0	4	0	0	0	1116
ENSG00000180660	78	59	0	0	0	8	2907
ENSG00000180662	0	2	0	0	0	0	535
ENSG00000180663	0	0	0	0	0	0	919
ENSG00000180667	1788	3232	1195	1700	1304	2420	6521
ENSG00000180672	164	45	1	138	48	100	1886
ENSG00000180673	0	4	2	9	0	4	1969
ENSG00000180694	1083	1364	4133	1645	1475	1708	5870
ENSG00000180697	4	0	1	0	1	0	2187
ENSG00000180708	0	0	0	0	0	0	939
ENSG00000180712	0	1	1	0	0	0	2353
ENSG00000180714	0	0	0	0	0	0	943
ENSG00000180720	27	14	54	0	0	10	1468
ENSG00000180723	0	0	0	0	0	0	911
ENSG00000180725	0	0	0	0	0	0	701
ENSG00000180730	709	436	0	0	0	386	2860
ENSG00000180739	704	503	412	0	0	464	2601
ENSG00000180745	1	0	2	27	0	0	1152
ENSG00000180747	93	135	269	179	45	112	7881
ENSG00000180758	652	931	687	471	557	390	5372
ENSG00000180764	14	30	35	14	34	12	3350
ENSG00000180767	107	13	55	0	0	0	1789
ENSG00000180769	101	78	129	60	23	50	6434
ENSG00000180770	0	0	0	0	0	0	968
ENSG00000180771	186	553	592	955	709	257	4331
ENSG00000180772	0	0	0	0	0	0	2882
ENSG00000180773	1524	1554	1632	19	3	1069	9681
ENSG00000180776	447	930	2392	1416	518	1951	2046
ENSG00000180777	0	0	0	0	0	0	5982
ENSG00000180785	0	0	0	0	0	0	3614
ENSG00000180787	0	0	1	207	142	0	5206
ENSG00000180801	211	106	122	104	116	337	5024
ENSG00000180803	0	0	0	0	0	0	418
ENSG00000180806	371	829	311	57	96	9	1679
ENSG00000180815	302	190	109	8	0	0	5592
ENSG00000180817	8621	10820	6002	9336	10046	8279	5164
ENSG00000180818	793	712	120	10	1	9	2331
ENSG00000180822	970	629	646	765	972	528	10418
ENSG00000180828	9	8	0	0	0	0	3368
ENSG00000180834	461	263	289	137	280	229	2408
ENSG00000180846	0	6	19	0	0	7	1346
ENSG00000180855	140	100	95	235	247	79	2753
ENSG00000180861	0	0	5	605	344	9	3953
ENSG00000180867	101	89	212	322	395	283	1515
ENSG00000180869	0	0	0	32	12	0	2886
ENSG00000180871	0	0	3	0	0	18	3231
ENSG00000180872	0	0	0	0	0	0	342
ENSG00000180875	26	17	0	0	0	0	4170
ENSG00000180878	3	2	26	0	0	1	1142
ENSG00000180879	7661	8079	3337	6404	7401	2583	4590
ENSG00000180881	193	79	576	57	27	246	6241
ENSG00000180884	235	222	330	661	275	141	4234
ENSG00000180891	927	1392	5130	351	106	1044	5577
ENSG00000180900	6275	9851	11666	12085	12785	6875	6192
ENSG00000180901	1231	1421	1838	1339	1405	1731	5279
ENSG00000180902	522	537	1894	757	428	541	5279
ENSG00000180909	0	0	0	0	0	0	813
ENSG00000180910	0	0	0	0	0	2	837
ENSG00000180913	0	0	0	0	0	0	867
ENSG00000180914	84	30	166	29	21	180	4514
ENSG00000180917	397	377	1538	1738	1355	3010	7582
ENSG00000180919	0	0	0	0	0	0	1152
ENSG00000180921	1437	2735	11776	12289	13024	14153	5654
ENSG00000180926	0	0	0	0	0	0	702
ENSG00000180929	11	1	21	0	0	0	2180
ENSG00000180934	0	0	0	0	0	0	1071
ENSG00000180938	81	74	138	160	252	208	3275
ENSG00000180953	75	47	49	52	34	58	1614
ENSG00000180957	5338	7337	3931	3625	2880	7284	5091
ENSG00000180964	3122	3070	1281	1756	1315	912	1222
ENSG00000180974	0	0	0	0	0	0	1027
ENSG00000180979	462	360	601	725	672	797	3412
ENSG00000180987	4	1	0	0	0	0	504
ENSG00000180988	0	0	0	0	0	0	1035
ENSG00000180992	1345	1928	2101	1680	2378	1800	956
ENSG00000180998	280	278	101	141	56	155	6193
ENSG00000180999	0	0	0	22	7	14	1725
ENSG00000181001	0	0	0	0	0	0	963
ENSG00000181004	218	193	196	175	82	80	3432
ENSG00000181007	0	0	2	0	0	0	7506
ENSG00000181009	0	0	0	0	0	0	1034
ENSG00000181013	0	0	1	0	0	1	2123
ENSG00000181016	23	14	77	27	19	12	2592
ENSG00000181017	0	0	0	0	0	0	954
ENSG00000181019	212	209	12766	16804	15772	6675	3254
ENSG00000181023	0	0	0	0	0	0	1088
ENSG00000181026	2805	3777	2310	4937	4839	2325	6018
ENSG00000181027	1132	1300	854	2647	4141	424	5081
ENSG00000181029	26	14	6	28	28	0	824
ENSG00000181031	299	172	447	348	204	21	5953
ENSG00000181035	616	389	800	79	46	439	4519
ENSG00000181036	0	0	1	0	0	0	2671
ENSG00000181038	821	474	767	529	530	685	1914
ENSG00000181039	157	230	112	140	123	41	3611
ENSG00000181045	1001	653	1269	25	4	186	4903
ENSG00000181061	4379	5324	3418	7922	6310	6566	1940
ENSG00000181072	0	0	0	0	0	0	8322
ENSG00000181074	0	0	0	0	0	0	1037
ENSG00000181085	649	279	1876	24	6	7	3056
ENSG00000181090	3301	3997	4147	4001	4641	3645	15257
ENSG00000181092	0	0	0	0	0	0	4686
ENSG00000181097	24	25	218	4	0	48	1963
ENSG00000181101	1	0	0	0	0	0	1023
ENSG00000181104	2092	1461	2097	9	0	1438	4066
ENSG00000181109	0	0	0	0	0	0	963
ENSG00000181123	0	0	6	0	0	0	988
ENSG00000181126	1	0	11	6	1	549	5662
ENSG00000181135	432	552	961	608	923	1260	6328
ENSG00000181143	0	0	79	0	0	210	43830
ENSG00000181163	60777	94772	35806	49373	52355	70838	3828
ENSG00000181171	0	0	0	0	0	0	2315
ENSG00000181191	2268	2136	789	955	1095	1732	3117
ENSG00000181192	3578	3496	1792	1462	296	1577	5281
ENSG00000181195	0	0	0	0	0	0	3455
ENSG00000181201	0	0	0	0	0	0	524
ENSG00000181211	0	0	5	0	0	0	1839
ENSG00000181214	0	0	0	0	0	0	929
ENSG00000181215	1	7	6	0	0	0	4557
ENSG00000181218	234	411	314	18	10	234	496
ENSG00000181220	1289	1528	1774	1688	2274	853	8260
ENSG00000181222	25676	27238	21268	15718	13754	13745	8353
ENSG00000181227	14	29	45	22	9	10	1359
ENSG00000181234	0	0	0	0	0	0	4949
ENSG00000181240	11	4	142	8	4	4	1649
ENSG00000181260	0	0	5	0	1	4	983
ENSG00000181264	654	381	549	53	13	79	4468
ENSG00000181273	0	0	0	0	0	0	996
ENSG00000181274	1685	2153	541	1985	904	229	2204
ENSG00000181282	0	0	0	0	0	0	1297
ENSG00000181284	504	543	835	675	744	330	2129
ENSG00000181291	1070	1793	0	0	0	0	4583
ENSG00000181296	0	0	0	0	0	0	946
ENSG00000181315	502	889	432	597	405	445	3152
ENSG00000181322	7	9	62	9	1	9	3738
ENSG00000181323	7	4	4	0	0	0	982
ENSG00000181325	0	0	0	0	0	0	918
ENSG00000181333	0	0	0	38	6	121	5345
ENSG00000181350	153	55	176	546	328	66	3695
ENSG00000181355	1	0	6	5	1	0	4783
ENSG00000181358	0	0	0	0	0	0	2408
ENSG00000181359	0	0	3	2	0	2	853
ENSG00000181371	0	0	0	0	0	0	1047
ENSG00000181374	0	0	0	0	0	0	851
ENSG00000181378	26	14	24	2	2	0	10519
ENSG00000181381	1	0	3922	2228	402	2751	12156
ENSG00000181392	25	11	928	33	12	24	2528
ENSG00000181395	0	0	0	0	0	0	924
ENSG00000181396	874	978	2406	1405	1838	1133	6391
ENSG00000181404	412	403	822	381	526	325	2216
ENSG00000181408	121	376	0	17	4	0	1310
ENSG00000181409	428	422	266	53	53	4	6225
ENSG00000181418	10	13	671	22	1	38	3749
ENSG00000181433	36	23	0	0	0	0	3092
ENSG00000181444	635	284	679	283	164	0	2734
ENSG00000181449	234	276	12	1052	1399	38	2508
ENSG00000181450	1431	1878	506	942	903	316	9006
ENSG00000181458	227	619	340	47	12	110	6005
ENSG00000181464	0	0	0	0	0	0	794
ENSG00000181467	1931	2014	4209	6441	6486	3245	6237
ENSG00000181472	507	1052	632	2327	2298	1850	3090
ENSG00000181481	751	796	584	653	451	703	3580
ENSG00000181495	0	0	0	0	0	0	2875
ENSG00000181499	0	0	0	0	0	0	1089
ENSG00000181511	0	0	0	0	0	0	303
ENSG00000181513	242	67	452	687	297	180	3776
ENSG00000181514	0	0	0	0	0	0	1184
ENSG00000181518	0	0	0	0	0	0	1075
ENSG00000181523	1006	1258	1871	25	5	865	6713
ENSG00000181524	35	140	137	19	48	242	421
ENSG00000181541	1	6	0	0	1	0	2767
ENSG00000181544	297	515	200	228	198	426	3215
ENSG00000181552	0	0	0	0	0	0	896
ENSG00000181555	2414	4057	3780	4532	3026	5056	10019
ENSG00000181562	0	0	0	0	0	0	927
ENSG00000181577	2	5	1445	248	87	0	3917
ENSG00000181585	12	43	20	0	0	14	1824
ENSG00000181588	2361	3037	4169	4792	6110	1135	2850
ENSG00000181609	0	0	92	0	0	0	1065
ENSG00000181610	1817	2445	2723	1835	2407	2760	1679
ENSG00000181616	0	0	0	0	0	0	1061
ENSG00000181617	0	0	0	0	0	0	566
ENSG00000181619	56	66	215	34	40	172	4977
ENSG00000181625	0	0	0	2	0	0	2462
ENSG00000181626	0	0	24	0	0	0	4812
ENSG00000181631	6	0	0	0	0	0	2764
ENSG00000181634	22	21	2	1415	224	410	7889
ENSG00000181638	504	585	625	566	1022	665	6910
ENSG00000181649	3019	1144	7242	1531	2418	819	955
ENSG00000181652	60	49	192	5	0	23	6404
ENSG00000181656	9	1	0	0	0	0	3491
ENSG00000181666	466	320	524	2326	1891	469	7203
ENSG00000181689	0	0	0	0	0	0	939
ENSG00000181690	487	700	53	231	155	981	7833
ENSG00000181693	0	0	0	0	0	0	1038
ENSG00000181698	0	0	0	0	0	0	1118
ENSG00000181704	2240	2547	2507	2080	1787	3873	8850
ENSG00000181705	0	0	0	0	0	0	197
ENSG00000181718	0	0	0	0	0	0	1248
ENSG00000181722	13	6	279	2	9	38	8279
ENSG00000181733	0	0	0	0	0	0	1056
ENSG00000181741	1	0	0	4	0	8	551
ENSG00000181744	1334	1483	867	1741	1326	976	5487
ENSG00000181751	978	961	635	1076	1218	333	3568
ENSG00000181752	0	0	0	0	0	0	924
ENSG00000181754	434	367	14	23	14	187	5144
ENSG00000181761	0	0	0	0	0	0	939
ENSG00000181767	0	0	0	0	0	0	939
ENSG00000181773	160	61	188	102	122	79	2115
ENSG00000181778	0	0	0	0	0	0	1245
ENSG00000181780	0	0	0	0	0	0	1020
ENSG00000181781	34	26	7	19	5	0	1734
ENSG00000181785	0	0	0	0	0	0	975
ENSG00000181786	0	0	4	0	0	0	1422
ENSG00000181788	971	1155	1396	1701	1700	1816	2617
ENSG00000181789	4011	5107	8962	6359	5566	6511	4423
ENSG00000181790	1427	1065	737	27	2	8	7356
ENSG00000181791	0	0	0	0	0	0	1047
ENSG00000181798	10	43	29	10	24	31	1282
ENSG00000181800	4	0	0	0	0	0	2468
ENSG00000181803	0	0	0	0	0	0	996
ENSG00000181804	115	104	18	1	0	14	4087
ENSG00000181817	1440	1337	946	964	1724	1005	1496
ENSG00000181819	0	0	0	0	2	1	1013
ENSG00000181826	170	183	349	457	253	152	1947
ENSG00000181827	702	953	2185	2383	1172	1968	7670
